DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino
2024-07-09;23423;4;Ativa;1614;1624;3088;LT 230 kV ITAUBA /CANDELARIA 2 RS;1;25;9,0000000000;RSUITA;ITAUBA;USI ITAUBA     RS;RS;RSCDL2;CANDELARIA 2;SUB CANDELARIA 2 RS;RS
2024-07-09;23424;4;Ativa;1615;3088;1568;LT 230 kV CANDELARIA 2 /NOVA STA RITA RS;1;25;9,0000000000;RSCDL2;CANDELARIA 2;SUB CANDELARIA 2 RS;RS;RSPOL;NOVA STA RITA;SUB NOVA STA RITA    RS;RS
2024-07-09;23427;4;Ativa;1616;1513;3042;LT 230 kV GRAVATAI 2 /VIAMAO 3 RS;1;54;21,0000000000;RSGRA2;GRAVATAI 2;SUB GRAVATAI 2 RS;RS;RSVIA3;VIAMAO 3;SUB VIAMAO 3    RS;RS
2024-07-09;23428;4;Ativa;1617;3042;1554;LT 230 kV VIAMAO 3 /PORTO ALEGRE 6 RS;1;25;9,0000000000;RSVIA3;VIAMAO 3;SUB VIAMAO 3    RS;RS;RSPAL6;PORTO ALEGRE 6;SUB PORTO ALEGRE 6   RS;RS
2024-07-09;23431;4;Ativa;1618;3091;3092;LT 500 kV JOAO CAMARA III /CEARA MIRIM II RN;1;0;64,0000000000;RNJCT;JOAO CAMARA III;SUB JOAO CAMARA II   RN;RN;RNCMM;CEARA MIRIM II;SUB CEARA MIRIM II RN;RN
2024-07-09;23434;4;Ativa;1619;3092;3090;LT 500 kV CEARA MIRIM II /C.GRANDE III RN/PB;1;0;192,0000000000;RNCMM;CEARA MIRIM II;SUB CEARA MIRIM II RN;RN;PBCGT;C.GRANDE III;SUB CAMPINA GRANDE III  PB;PB
2024-07-09;23437;4;Ativa;1621;3090;897;LT 230 kV C.GRANDE III /C.GRANDE II PB;1;0;9,0000000000;PBCGT;C.GRANDE III;SUB CAMPINA GRANDE III  PB;PB;PBCGD;C.GRANDE II;SUB CAMPINA GRANDE II   PB;PB
2024-07-09;23440;4;Ativa;1620;3092;2936;LT 230 kV CEARA MIRIM II /EXTREMOZ II RN;1;0;26,0000000000;RNCMM;CEARA MIRIM II;SUB CEARA MIRIM II RN;RN;RNETD;EXTREMOZ II;SUB EXTREMOZ II RN;RN
2024-07-09;23627;4;Ativa;1633;576;3106;LT 230 kV MESQUITA /TIMOTEO 2 MG;1;58;23,9000000000;MGMESQ;MESQUITA;SUB MESQUITA    MG;MG;MGTIM2;TIMOTEO 2;SUB TIMOTEO 2  MG;MG
2024-07-09;23632;4;Ativa;1634;337;3106;LT 230 kV ACESITA /TIMOTEO 2 MG;1;4;1,2200000000;MGACES;ACESITA;SUB ACESITA    MG;MG;MGTIM2;TIMOTEO 2;SUB TIMOTEO 2  MG;MG
2024-07-09;23633;4;Ativa;1635;3106;457;LT 230 kV TIMOTEO 2 /IPATINGA 1 MG;1;31;13,0000000000;MGTIM2;TIMOTEO 2;SUB TIMOTEO 2  MG;MG;MGIPAT;IPATINGA 1;SUB IPATINGA 1    MG;MG
2024-07-09;23636;4;Ativa;1636;3107;71;LT 230 kV MORRO CHAPEU II /IRECE BA;1;114;64,0000000000;BAMPD;MORRO CHAPEU II;SUB MORRO DO CHAPEU II BA;BA;BAIRE;IRECE;SUB IRECE    BA;BA
2024-07-09;23637;4;Ativa;1637;1410;3109;LT 230 kV PARAISO /LAGOA NOVA II RN;1;143;63,0000000000;RNPRS;PARAISO;SUB PARAISO    RN;RN;RNLND;LAGOA NOVA II;SUB LAGOA NOVA II RN;RN
2024-07-09;23639;4;Ativa;1644;2798;3110;LT 500 kV LECHUGA /EQUADOR AM/RR;1;;400,0000000000;AMCRR;LECHUGA;SUB LECHUGA (MANAUS) AM;AM;RREQ;EQUADOR;SUB EQUADOR RR;RR
2024-07-09;23640;4;Ativa;1644;2798;3110;LT 500 kV LECHUGA /EQUADOR AM/RR;2;;400,0000000000;AMCRR;LECHUGA;SUB LECHUGA (MANAUS) AM;AM;RREQ;EQUADOR;SUB EQUADOR RR;RR
2024-07-09;23649;4;Ativa;1638;1003;3022;LT 230 kV TERESINA II /TERESINA III PI;1;47;23,0000000000;PITSD ;TERESINA II;SUB TERESINA II   PI;PI;PITST;TERESINA III;SUB TERESINA III     PI;PI
2024-07-09;23650;4;Ativa;1638;1003;3022;LT 230 kV TERESINA II /TERESINA III PI;2;47;23,0000000000;PITSD ;TERESINA II;SUB TERESINA II   PI;PI;PITST;TERESINA III;SUB TERESINA III     PI;PI
2024-07-09;23651;4;Ativa;1640;2550;3111;LT 500 kV TAUBATE /NOVA IGUACU SP/RJ;1;590;258,0000000000;SPTAU;TAUBATE;SUB TAUBATE    SP;SP;RJSTNV;NOVA IGUACU;SUB NOVA IGUACU  RJ;RJ
2024-07-09;23652;4;Desativada;1646;1047;3114;LT 230 kV CASCAVEL OEST /UMUARAMA SUL PR;1;366;129,4000000000;PRCVO ;CASCAVEL OEST;SUB CASCAVEL OESTE   PR;PR;PRUMU2;UMUARAMA SUL;SUB UMUARAMA SUL PR;PR
2024-07-09;23672;4;Ativa;145;290;318;LT 230 kV PIRINEUS /XAVANTES GO;2;99;51,0000000000;GOSTPP;PIRINEUS;SUB PIRINEUS    GO;GO;GOXAV;XAVANTES;SUB XAVANTES    GO;GO
2024-07-09;23715;4;Ativa;1648;997;3108;LT 230 kV PIRIPIRI /IBIAPINA II PI/CE;1;21;10,0000000000;PIPRI;PIRIPIRI;SUB PIRIPIRI    PI;PI;CEIBD;IBIAPINA II;SUB IBIAPINA II  CE;CE
2024-07-09;23716;4;Ativa;1649;3108;160;LT 230 kV IBIAPINA II /SOBRAL II CE;1;21;10,0000000000;CEIBD;IBIAPINA II;SUB IBIAPINA II  CE;CE;CESBD;SOBRAL II;SUB SOBRAL II     CE;CE
2024-07-09;23798;4;Ativa;1650;1328;3111;LT 500 kV ANGRA FUR /NOVA IGUACU RJ;1;5;2,0000000000;RJSTAN;ANGRA FUR;SUB ANGRA FUR     RJ;RJ;RJSTNV;NOVA IGUACU;SUB NOVA IGUACU  RJ;RJ
2024-07-09;23799;4;Ativa;1651;3111;1338;LT 500 kV NOVA IGUACU /SAO JOSE RJ;1;3;1,0000000000;RJSTNV;NOVA IGUACU;SUB NOVA IGUACU  RJ;RJ;RJSTSJ;SAO JOSE;SUB SAO JOSE    RJ;RJ
2024-07-09;23802;4;Ativa;1652;1327;3111;LT 345 kV ADRIANOPOLIS /NOVA IGUACU RJ;1;40;12,0000000000;RJSTAD;ADRIANOPOLIS;SUB ADRIANOPOLIS     RJ;RJ;RJSTNV;NOVA IGUACU;SUB NOVA IGUACU  RJ;RJ
2024-07-09;23803;4;Ativa;1653;3111;1333;LT 345 kV NOVA IGUACU /JACAREPAGUA RJ;1;40;12,0000000000;RJSTNV;NOVA IGUACU;SUB NOVA IGUACU  RJ;RJ;RJSTJP;JACAREPAGUA;SUB JACAREPAGUA   RJ;RJ
2024-07-09;23812;4;Ativa;1645;3110;3113;LT 500 kV EQUADOR /BOA VISTA RR;1;;315,0000000000;RREQ;EQUADOR;SUB EQUADOR RR;RR;RRBV;BOA VISTA;SUB BOA VISTA   RR;RR
2024-07-09;23813;4;Ativa;1645;3110;3113;LT 500 kV EQUADOR /BOA VISTA RR;2;;315,0000000000;RREQ;EQUADOR;SUB EQUADOR RR;RR;RRBV;BOA VISTA;SUB BOA VISTA   RR;RR
2024-07-09;23948;4;Ativa;1656;1658;3118;LT 230 kV BIGUACU /GASPAR 2 SC;1;5;1,0000000000;SCBIG;BIGUACU;SUB BIGUACU ELETROSUL SC;SC;SCGAS22;GASPAR 2;SUB GASPAR 2 SC;SC
2024-07-09;23949;4;Ativa;1657;3118;1659;LT 230 kV GASPAR 2 /BLUMENAU SC;1;5;15,3500000000;SCGAS22;GASPAR 2;SUB GASPAR 2 SC;SC;SCBLU;BLUMENAU;SUB BLUMENAU    SC;SC
2024-07-09;23952;4;Ativa;1658;1658;3117;LT 500 kV BIGUACU /ABDON BATISTA SC;1;2;1,0000000000;SCBIG;BIGUACU;SUB BIGUACU ELETROSUL SC;SC;SCATA-5;ABDON BATISTA;SUB ABDON BATISTA SC;SC
2024-07-09;23953;4;Ativa;1659;3117;1672;LT 500 kV ABDON BATISTA /C.NOVOS SC;1;3;1,0000000000;SCATA-5;ABDON BATISTA;SUB ABDON BATISTA SC;SC;SCCNO;C.NOVOS;SUB CAMPOS NOVOS     SC;SC
2024-07-09;23956;4;Ativa;1660;1656;3117;LT 230 kV BARRA GRANDE /ABDON BATISTA SC;1;55;24,0000000000;SCBGR;BARRA GRANDE;SUB BARRA GRANDE     SC;SC;SCATA-5;ABDON BATISTA;SUB ABDON BATISTA SC;SC
2024-07-09;23957;4;Ativa;1661;3117;1712;LT 230 kV ABDON BATISTA /LAGES SC;2;54;23,0000000000;SCATA-5;ABDON BATISTA;SUB ABDON BATISTA SC;SC;SCLAG;LAGES;SUB LAGES    SC;SC
2024-07-09;23960;4;Ativa;1660;1656;3117;LT 230 kV BARRA GRANDE /ABDON BATISTA SC;2;55;24,0000000000;SCBGR;BARRA GRANDE;SUB BARRA GRANDE     SC;SC;SCATA-5;ABDON BATISTA;SUB ABDON BATISTA SC;SC
2024-07-09;23961;4;Ativa;1661;3117;1712;LT 230 kV ABDON BATISTA /LAGES SC;1;54;23,0000000000;SCATA-5;ABDON BATISTA;SUB ABDON BATISTA SC;SC;SCLAG;LAGES;SUB LAGES    SC;SC
2024-07-09;24009;4;Ativa;1643;3112;916;LT 230 kV GARANHUNS II /ANGELIM PE;4;26;13,0000000000;PEGRD;GARANHUNS II;SUB GARANHUNS  PE;PE;PEAGL;ANGELIM;SUB ANGELIM    PE;PE
2024-07-09;24012;4;Ativa;1663;980;3112;LT 500 kV US. L.GONZAGA /GARANHUNS II PE;1;406;203,0000000000;PEULG;US. L.GONZAGA;USI LUIZ GONZAGA     PE;PE;PEGRD;GARANHUNS II;SUB GARANHUNS  PE;PE
2024-07-09;24013;4;Ativa;1662;16;3119;LT 230 kV MESSIAS /MACEIO II AL;1;59;20,0000000000;ALMSI;MESSIAS;SUB MESSIAS AL;AL;ALMCD;MACEIO II;SUB MACEIO II AL;AL
2024-07-09;24014;4;Ativa;1641;3112;950;LT 500 kV GARANHUNS II /PAU FERRO PE;1;409;208,0000000000;PEGRD;GARANHUNS II;SUB GARANHUNS  PE;PE;PEPFE;PAU FERRO;SUB PAU FERRO     PE;PE
2024-07-09;24015;4;Ativa;1642;3112;3090;LT 500 kV GARANHUNS II /C.GRANDE III PE/PB;1;380;193,0000000000;PEGRD;GARANHUNS II;SUB GARANHUNS  PE;PE;PBCGT;C.GRANDE III;SUB CAMPINA GRANDE III  PB;PB
2024-07-09;24016;4;Ativa;1662;16;3119;LT 230 kV MESSIAS /MACEIO II AL;2;59;20,0000000000;ALMSI;MESSIAS;SUB MESSIAS AL;AL;ALMCD;MACEIO II;SUB MACEIO II AL;AL
2024-07-09;24232;4;Ativa;1676;957;3126;LT 230 kV RECIFE II /JABOATAO II PE;1;25;11,0000000000;PERCD;RECIFE II;SUB RECIFE II     PE;PE;PEJBD;JABOATAO II;SUB JABOATAO II  PE;PE
2024-07-09;24233;4;Ativa;1677;3126;954;LT 230 kV JABOATAO II /PIRAPAMA II PE;1;25;11,0000000000;PEJBD;JABOATAO II;SUB JABOATAO II  PE;PE;PEPRD;PIRAPAMA II;SUB PIRAPAMA II   PE;PE
2024-07-09;24266;4;Ativa;521;1056;1139;LT 230 kV FOZ DO CHOPIM /S. OSORIO PR;2;23;9,9800000000;PRFOC;FOZ DO CHOPIM;SUB FOZ DO CHOPIM    PR;PR;PRSOS;S. OSORIO;SUB SALTO  OSORIO    PR;PR
2024-07-09;24269;4;Ativa;547;1087;1059;LT 230 kV LONDRINA ESU /FIGUEIRA PR;2;205;91,9000000000;PRLON;LONDRINA ESU;SUB LONDRINA    PR;PR;PRFRA;FIGUEIRA;SE FIGUEIRA PR;PR
2024-07-09;24274;4;Ativa;1682;1568;3134;LT 525 kV NOVA STA RITA /POVO NOVO RS;1;619;268,0000000000;RSPOL;NOVA STA RITA;SUB NOVA STA RITA    RS;RS;RSPNO;POVO NOVO;SUB POVO NOVO RS;RS
2024-07-09;24275;4;Ativa;1683;3134;3135;LT 525 kV POVO NOVO /MARMELEIRO 2 RS;1;323;281,0000000000;RSPNO;POVO NOVO;SUB POVO NOVO RS;RS;RSMRO;MARMELEIRO 2;SUB MARMELEIRO 2 RS;RS
2024-07-09;24276;4;Ativa;1681;3135;3136;LT 525 kV MARMELEIRO 2 /STA V.PALMAR RS;1;99;52,0000000000;RSMRO;MARMELEIRO 2;SUB MARMELEIRO 2 RS;RS;RSSVP;STA V.PALMAR;SUB SANTA VITORIA DO PALMAR RS;RS
2024-07-09;24277;4;Ativa;1679;3131;1568;LT 230 kV CAMAQUA 3 /NOVA STA RITA RS;1;254;126,0000000000;RSCAM3;CAMAQUA 3;SUB CAMAQUA 3 RS;RS;RSPOL;NOVA STA RITA;SUB NOVA STA RITA    RS;RS
2024-07-09;24278;4;Desativada;1680;3131;1572;LT 230 kV CAMAQUA 3 /QUINTA RS;1;353;168,0000000000;RSCAM3;CAMAQUA 3;SUB CAMAQUA 3 RS;RS;RSQUI;QUINTA;SUB QUINTA     RS;RS
2024-07-09;24279;4;Ativa;570;1142;1786;LT 500 kV S.SANTIAGO /ITA PR/SC;2;389;187,0000000000;PRSSA;S.SANTIAGO;SUB SALTO SANTIAGO   PR;PR;SCYTA;ITA;SUB ITA     SC;SC
2024-07-09;24308;4;Ativa;1688;1027;3137;LT 500 kV CURITIBA /CURITIBA LESTE PR;1;71;29,1400000000;PRCBA;CURITIBA;SUB CURITIBA    PR;PR;PRCBL;CURITIBA LESTE;SUB CURITIBA LESTE PR;PR
2024-07-09;24337;4;Ativa;1689;1048;3137;LT 230 kV D.S.J.PINHAIS /CURITIBA LESTE PR;1;19;5,2300000000;PRDJP;D.S.J.PINHAIS;SUB DISTRITO SAO JOSE DOS PINHAIS PR;PR;PRCBL;CURITIBA LESTE;SUB CURITIBA LESTE PR;PR
2024-07-09;24338;4;Ativa;1690;3137;1136;LT 230 kV CURITIBA LESTE /SANTA MONICA PR;1;19;5,2300000000;PRCBL;CURITIBA LESTE;SUB CURITIBA LESTE PR;PR;PRSMC;SANTA MONICA;SUB SANTA MONICA     PR;PR
2024-07-09;24368;4;Ativa;1691;1047;3138;LT 230 kV CASCAVEL OEST /CASCAVEL NORTE PR;1;95;30,3000000000;PRCVO ;CASCAVEL OEST;SUB CASCAVEL OESTE   PR;PR;PRCTE;CASCAVEL NORTE;SUB CASCAVEL NORTE PR;PR
2024-07-09;24387;4;Ativa;1692;3114;1068;LT 230 kV UMUARAMA SUL /GUAIRA PR;1;243;103,9000000000;PRUMU2;UMUARAMA SUL;SUB UMUARAMA SUL PR;PR;PRGUA;GUAIRA;SUB GUAIRA     PR;PR
2024-07-09;24424;4;Ativa;1694;3139;3140;LT 500 kV PARANAITA /CLAUDIA MT;1;568;297,0000000000;MTPRT;PARANAITA;SUB PARANAITA MT;MT;MTCLD;CLAUDIA;SUB CLAUDIA MT;MT
2024-07-09;24425;4;Ativa;1694;3139;3140;LT 500 kV PARANAITA /CLAUDIA MT;2;568;297,0000000000;MTPRT;PARANAITA;SUB PARANAITA MT;MT;MTCLD;CLAUDIA;SUB CLAUDIA MT;MT
2024-07-09;24444;4;Ativa;1695;3140;3141;LT 500 kV CLAUDIA /PARANATINGA MT;1;654;356,0000000000;MTCLD;CLAUDIA;SUB CLAUDIA MT;MT;MTPRG;PARANATINGA;SUB PARANATINGA MT;MT
2024-07-09;24445;4;Ativa;1695;3140;3141;LT 500 kV CLAUDIA /PARANATINGA MT;2;654;356,0000000000;MTCLD;CLAUDIA;SUB CLAUDIA MT;MT;MTPRG;PARANATINGA;SUB PARANATINGA MT;MT
2024-07-09;24467;4;Ativa;1696;3141;836;LT 500 kV PARANATINGA /RIBEIRAOZINHO MT;1;694;354,0000000000;MTPRG;PARANATINGA;SUB PARANATINGA MT;MT;MTRB;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT
2024-07-09;24468;4;Ativa;1696;3141;836;LT 500 kV PARANATINGA /RIBEIRAOZINHO MT;2;694;354,0000000000;MTPRG;PARANATINGA;SUB PARANATINGA MT;MT;MTRB;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT
2024-07-09;24469;4;Ativa;907;1786;1568;LT 525 kV ITA /NOVA STA RITA SC/RS;2;635;314,0000000000;SCYTA;ITA;SUB ITA     SC;SC;RSPOL;NOVA STA RITA;SUB NOVA STA RITA    RS;RS
2024-07-09;24517;4;Ativa;1700;319;329;LT 500 kV ACAILANDIA /MIRANDA II MA;1;779;364,8100000000;MAAC;ACAILANDIA;SUB ACAILANDIA    MA;MA;MAMR;MIRANDA II;SUB MIRANDA II    MA;MA
2024-07-09;24635;4;Ativa;1685;3132;3133;LT 230 kV IGAPORA III /PINDAI II BA;1;104;50,0000000000;BAIGT;IGAPORA III;SUB IGAPORA III BA;BA;BAPND;PINDAI II;SUB PINDAI II BA;BA
2024-07-09;24636;4;Ativa;1684;2934;3132;LT 230 kV IGAPORA II /IGAPORA III BA;1;11;6,0000000000;BAIGD;IGAPORA II;SUB IGAPORA II    BA;BA;BAIGT;IGAPORA III;SUB IGAPORA III BA;BA
2024-07-09;24637;4;Ativa;1684;2934;3132;LT 230 kV IGAPORA II /IGAPORA III BA;2;11;6,0000000000;BAIGD;IGAPORA II;SUB IGAPORA II    BA;BA;BAIGT;IGAPORA III;SUB IGAPORA III BA;BA
2024-07-09;24656;4;Ativa;1703;39;3132;LT 500 kV B.J.LAPA II /IGAPORA III BA;1;74;35,0000000000;BABJD;B.J.LAPA II;SUB BOM JESUS DA LAPA II   BA;BA;BAIGT;IGAPORA III;SUB IGAPORA III BA;BA
2024-07-09;24657;4;Ativa;1704;3132;70;LT 500 kV IGAPORA III /IBICOARA BA;1;73;35,0000000000;BAIGT;IGAPORA III;SUB IGAPORA III BA;BA;BAICA;IBICOARA;SUB IBICOARA    BA;BA
2024-07-09;24795;4;Ativa;1709;1851;3146;LT 440 kV ARARAQUARA /PIRACICABA SP;1;12;3,5100000000;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP;SPPCB;PIRACICABA;SUB PIRACICABA SP;SP
2024-07-09;24796;4;Ativa;1710;3146;2468;LT 440 kV PIRACICABA /SANTA BARBARA SP;1;12;3,5100000000;SPPCB;PIRACICABA;SUB PIRACICABA SP;SP;SPSBO;SANTA BARBARA;SUB SANTA BARBARA  DOESTE    SP;SP
2024-07-09;24845;4;Ativa;1716;1403;3150;LT 230 kV MOSSORO II /ACU III RN;1;10;3,2000000000;RNMSD;MOSSORO II;SUB MOSSORO II    RN;RN;RNACT;ACU III;SUB ACU III RN;RN
2024-07-09;24846;4;Ativa;1717;3150;1395;LT 230 kV ACU III /ACU II RN;1;10;3,2000000000;RNACT;ACU III;SUB ACU III RN;RN;RNACD;ACU II;SUB ACU II     RN;RN
2024-07-09;24914;4;Ativa;1718;158;130;LT 230 kV RUSSAS II /BANABUIU CE;1;225;112,0000000000;CERSD;RUSSAS II;SUB RUSSAS II     CE;CE;CEBNB;BANABUIU;SUB BANABUIU    CE;CE
2024-07-09;24915;4;Ativa;1719;3152;3092;LT 230 kV TOUROS /CEARA MIRIM II RN;1;130;62,0000000000;RNTRS;TOUROS;SUB TOUROS RN;RN;RNCMM;CEARA MIRIM II;SUB CEARA MIRIM II RN;RN
2024-07-09;24916;4;Ativa;1720;3153;1403;LT 230 kV MOSSORO IV /MOSSORO II RN;1;84;36,0000000000;RNMSQ;MOSSORO IV;SUB MOSSORO IV RN;RN;RNMSD;MOSSORO II;SUB MOSSORO II    RN;RN
2024-07-09;24974;4;Ativa;1701;3144;1797;LT 230 kV N.S.SOCORRO /JARDIM SE;1;7;1,0000000000;SENSC;N.S.SOCORRO;SUB NOSSA SENHORA DO SOCORRO SE;SE;SEJDM;JARDIM;SUB JARDIM SE;SE
2024-07-09;24975;4;Ativa;1701;3144;1797;LT 230 kV N.S.SOCORRO /JARDIM SE;2;5;1,0000000000;SENSC;N.S.SOCORRO;SUB NOSSA SENHORA DO SOCORRO SE;SE;SEJDM;JARDIM;SUB JARDIM SE;SE
2024-07-09;25028;4;Ativa;1723;1028;1141;LT 230 kV C.COMPRIDO /SANT.QUITERIA PR;1;3;10,3300000000;PRCCO;C.COMPRIDO;SUB CAMPO COMPRIDO   PR;PR;PRSQT ;SANT.QUITERIA;SUB SANTA QUITERIA   PR;PR
2024-07-09;25029;4;Ativa;1724;1141;1162;LT 230 kV SANT.QUITERIA /UMBARA PR;1;3;24,3300000000;PRSQT ;SANT.QUITERIA;SUB SANTA QUITERIA   PR;PR;PRUMB;UMBARA;SUB UMBARA     PR;PR
2024-07-09;26000;4;Ativa;1739;3147;999;LT 500 kV GILBUES II /S.JOAO PIAUI PI;1;820;414,0000000000;PIGBD;GILBUES II;SUB GILBUES II PI;PI;PISJI;S.JOAO PIAUI;SUB SAO JOAO PIAUI   PI;PI
2024-07-09;26022;4;Ativa;1740;37;3093;LT 230 kV BRUMADO II /POCOES II BA;1;1;143,1300000000;BABDD;BRUMADO II;SUB BRUMADO II    BA;BA;BAPOD;POCOES II;SUB POCOES II BA;BA
2024-07-09;26023;4;Ativa;1741;3093;2848;LT 230 kV POCOES II /ITAGIBA BA;1;2;88,5400000000;BAPOD;POCOES II;SUB POCOES II BA;BA;BAIGB;ITAGIBA;SUB ITAGIBÁ BA;BA
2024-07-09;26053;4;Ativa;1744;3148;92;LT 500 kV BARREIRAS II /RIO DAS EGUAS BA;1;603;238,0000000000;BABRD;BARREIRAS II;SUB BARREIRAS II BA;BA;BARDE;RIO DAS EGUAS;SUB RIO DAS EGUAS    BA;BA
2024-07-09;26054;4;Ativa;1745;92;264;LT 500 kV RIO DAS EGUAS /LUZIANIA BA/GO;1;612;373,0000000000;BARDE;RIO DAS EGUAS;SUB RIO DAS EGUAS    BA;BA;GOLUZI;LUZIANIA;SUB LUZIANIA    GO;GO
2024-07-09;26055;4;Ativa;1746;264;617;LT 500 kV LUZIANIA /PIRAPORA 2 GO/MG;1;678;35,0000000000;GOLUZI;LUZIANIA;SUB LUZIANIA    GO;GO;MGPIRD;PIRAPORA 2;SUB PIRAPORA 2    MG;MG
2024-07-09;26173;4;Ativa;375;836;257;LT 500 kV RIBEIRAOZINHO /R.VERDE NORTE MT/GO;3;;250,0000000000;MTRB;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT;GOID;R.VERDE NORTE;SUB RIO VERDE NORTE    GO;GO
2024-07-09;26182;4;Ativa;1619;3092;3090;LT 500 kV CEARA MIRIM II /C.GRANDE III RN/PB;2;397;196,0000000000;RNCMM;CEARA MIRIM II;SUB CEARA MIRIM II RN;RN;PBCGT;C.GRANDE III;SUB CAMPINA GRANDE III  PB;PB
2024-07-09;26212;4;Ativa;1748;2851;3163;LT 230 kV CHAPADAO /CAMPO GRANDE 2 MS;1;34;265,0000000000;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS;MSCGR2;CAMPO GRANDE 2;SUB CAMPO GRANDE 2 MS;MS
2024-07-09;26213;4;Ativa;1749;3163;763;LT 230 kV CAMPO GRANDE 2 /IMBIRUSSU MS;1;34;13,0000000000;MSCGR2;CAMPO GRANDE 2;SUB CAMPO GRANDE 2 MS;MS;MSIMB;IMBIRUSSU;SUB IMBIRUSSU     MS;MS
2024-07-09;26230;4;Ativa;1752;1869;3164;LT 230 kV ASSIS /PARAGUACU PAULISTA II SP;1;90;41,4700000000;SPASS;ASSIS;SUB ASSIS    SP;SP;SPPAD;PARAGUACU PAULISTA II;SUB PARAGUAÇU PAULISTA II SP;SP
2024-07-09;26231;4;Ativa;1752;1869;3164;LT 230 kV ASSIS /PARAGUACU PAULISTA II SP;2;90;41,4700000000;SPASS;ASSIS;SUB ASSIS    SP;SP;SPPAD;PARAGUACU PAULISTA II;SUB PARAGUAÇU PAULISTA II SP;SP
2024-07-09;26237;4;Ativa;1753;3165;1869;LT 500 kV MARIMBONDO II /ASSIS MG/SP;1;;297,0000000000;MGMR2;MARIMBONDO II;SUB MARIMBONDO II MG;MG;SPASS;ASSIS;SUB ASSIS    SP;SP
2024-07-09;26334;4;Ativa;98;186;187;LT 230 kV BRAS. GERAL /BRAS. SUL DF;3;0;13,0000000000;DFSTBG;BRAS. GERAL;SUB BRASILIA  GERAL    DF;DF;DFSTBS;BRAS. SUL;SUB BRASILIA  SUL    DF;DF
2024-07-09;26339;4;Ativa;101;187;188;LT 345 kV BRAS. SUL /SAMAMBAIA DF;3;46;14,0000000000;DFSTBS;BRAS. SUL;SUB BRASILIA  SUL    DF;DF;DFSTSB;SAMAMBAIA;SUB SAMAMBAIA     DF;DF
2024-07-09;26340;4;Ativa;1754;3166;264;LT 500 kV BRASILIA LESTE /LUZIANIA DF/GO;1;144;67,0000000000;DFSTBL;BRASILIA LESTE;SUB BRASILIA LESTE DF;DF;GOLUZI;LUZIANIA;SUB LUZIANIA    GO;GO
2024-07-09;26341;4;Ativa;1754;3166;264;LT 500 kV BRASILIA LESTE /LUZIANIA DF/GO;2;136;67,0000000000;DFSTBL;BRASILIA LESTE;SUB BRASILIA LESTE DF;DF;GOLUZI;LUZIANIA;SUB LUZIANIA    GO;GO
2024-07-09;26350;4;Ativa;1757;2125;3168;LT 440 kV GETULINA /MARECHAL RONDON SP/MS;1;11;4,0000000000;SPGET;GETULINA;SUB GETULINA    SP;SP;SPMRR;MARECHAL RONDON;SUB MARECHAL RONDON MS;MS
2024-07-09;26351;4;Ativa;1758;3168;2208;LT 440 kV MARECHAL RONDON /JUPIA MS/SP;1;11;4,0000000000;SPMRR;MARECHAL RONDON;SUB MARECHAL RONDON MS;MS;SPJUP;JUPIA;USI JUPIA    SP;SP
2024-07-09;26355;4;Desativada;1759;2546;3168;LT 440 kV TAQUARUCU /MARECHAL RONDON SP/MS;1;11;4,0000000000;SPTAQ;TAQUARUCU;USI TAQUARUCU     SP;SP;SPMRR;MARECHAL RONDON;SUB MARECHAL RONDON MS;MS
2024-07-09;26356;4;Ativa;1758;3168;2208;LT 440 kV MARECHAL RONDON /JUPIA MS/SP;2;11;4,0000000000;SPMRR;MARECHAL RONDON;SUB MARECHAL RONDON MS;MS;SPJUP;JUPIA;USI JUPIA    SP;SP
2024-07-09;26396;4;Ativa;1755;3148;3167;LT 230 kV BARREIRAS II /RIO GRANDE II BA;1;215;111,0000000000;BABRD;BARREIRAS II;SUB BARREIRAS II BA;BA;BARGD;RIO GRANDE II;SUB RIO GRANDE II BA;BA
2024-07-09;26397;4;Ativa;1756;42;3167;LT 230 kV BARREIRAS /RIO GRANDE II BA;1;220;109,0000000000;BABRA;BARREIRAS;SUB BARREIRAS     BA;BA;BARGD;RIO GRANDE II;SUB RIO GRANDE II BA;BA
2024-07-09;26398;4;Desativada;1760;40;3148;LT 230 kV B.JESUS LAPA /BARREIRAS II BA;1;10;221,0200000000;BABJS;B.JESUS LAPA;SUB B.JESUS LAPA     BA;BA;BABRD;BARREIRAS II;SUB BARREIRAS II BA;BA
2024-07-09;26399;4;Ativa;1761;3148;42;LT 230 kV BARREIRAS II /BARREIRAS BA;1;10;3,0000000000;BABRD;BARREIRAS II;SUB BARREIRAS II BA;BA;BABRA;BARREIRAS;SUB BARREIRAS     BA;BA
