DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino
2024-07-09;19573;4;Ativa;1371;885;2795;LT 500 kV TUCURUI /XINGU PA;2;506;264,0000000000;PATC;TUCURUI;SUB TUCURUI    PA;PA;PAXIN;XINGU;SUB XINGU PA;PA
2024-07-09;19574;4;Ativa;1372;2795;2794;LT 500 kV XINGU /JURUPARI PA;1;444;263,0000000000;PAXIN;XINGU;SUB XINGU PA;PA;PAJRP;JURUPARI;SUB JURUPARI PA;PA
2024-07-09;19575;4;Ativa;1372;2795;2794;LT 500 kV XINGU /JURUPARI PA;2;444;263,0000000000;PAXIN;XINGU;SUB XINGU PA;PA;PAJRP;JURUPARI;SUB JURUPARI PA;PA
2024-07-09;19665;4;Ativa;1357;62;2819;LT 230 kV EUNAPOLIS /TEIX. FREITAS II BA;1;;152,0000000000;BAENP;EUNAPOLIS;SUB EUNAPOLIS     BA;BA;BATXF;TEIX. FREITAS II;SUB TEIXEIRA DE FREITAS II BA;BA
2024-07-09;19689;4;Ativa;861;1688;1738;LT 230 kV FORQUILHINHA /SIDEROPOL.ESU SC;1;22;11,0000000000;SCFHA;FORQUILHINHA;SUB FORQUILHINHA     SC;SC;SCSID;SIDEROPOL.ESU;SUB SIDEROPOLIS (ELETROSUL)  SC;SC
2024-07-09;19691;4;Ativa;860;1688;1527;LT 230 kV FORQUILHINHA /L.GRANDE SC/RS;1;22;11,0000000000;SCFHA;FORQUILHINHA;SUB FORQUILHINHA     SC;SC;RSLGR;L.GRANDE;SUB LAJEADO GRANDE   RS;RS
2024-07-09;19700;4;Ativa;617;1327;1339;LT 345 kV ADRIANOPOLIS /VENDA PEDRAS RJ;1;270;107,0000000000;RJSTAD;ADRIANOPOLIS;SUB ADRIANOPOLIS     RJ;RJ;RJSTVP;VENDA PEDRAS;SUB VENDA DAS PEDRAS    RJ;RJ
2024-07-09;19702;4;Ativa;645;1334;1339;LT 345 kV MACAE MERCHAN /VENDA PEDRAS RJ;1;297;122,0000000000;RJSTMH;MACAE MERCHAN;SUB MACAE MERCHANT   RJ;RJ;RJSTVP;VENDA PEDRAS;SUB VENDA DAS PEDRAS    RJ;RJ
2024-07-09;19710;4;Ativa;941;1874;2537;LT 345 kV ATIBAIA 2 /MOGI CRUZES SP;1;7;1,7900000000;SPATB;ATIBAIA 2;SUB ATIBAIA 2    SP;SP;SPSTMO;MOGI CRUZES;SUB MOGI DAS CRUZES    SP;SP
2024-07-09;19712;4;Ativa;942;1874;678;LT 345 kV ATIBAIA 2 /POCOS CALDAS SP/MG;1;7;1,7900000000;SPATB;ATIBAIA 2;SUB ATIBAIA 2    SP;SP;MGSTPC;POCOS CALDAS;SUB POCOS DE CALDAS    MG;MG
2024-07-09;19714;4;Ativa;1366;673;302;LT 500 kV SAO SIMAO-SE /ITAGUACU MG/GO;1;40;20,4000000000;MGSSSE;SAO SIMAO-SE;SUB SAO SIMAO-SE     MG;MG;GOUHIG;ITAGUACU;USI ITAGUACU    GO;GO
